2026-04-25 16:30:19.233 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:30:19.316 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:32:48.603 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:32:48.652 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 1 个警告
2026-04-25 16:33:47.881 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:33:47.908 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 1 个警告
2026-04-25 16:33:47.947 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:34:03.001 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 16:34:03.007 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 1 个警告
2026-04-25 16:34:03.020 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 21:53:22.206 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 21:56:54.252 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:20:43.281 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:23:34.257 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:46:16.338 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:46:16.348 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:46:16.392 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:47:51.387 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:47:51.439 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:47:51.514 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:49:23.827 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
2026-04-25 22:49:23.850 [ERROR] [com.q3lives.compiler.generators.TypeChecker] - 类型检查失败: 1 个错误, 0 个警告
